arm,label,seed,gpu,repeat,endpoint_wall_seconds
official,Official,1884470933,0,0,34.87186167575419
official,Official,1884470933,0,1,34.868853494524956
official,Official,1884470933,0,2,34.875749085098505
official,Official,1884470933,1,0,34.98932597786188
official,Official,1884470933,1,1,35.00917864777148
official,Official,1884470933,1,2,34.99414461106062
official,Official,1884470933,2,0,34.85432701557875
official,Official,1884470933,2,1,34.856551280245185
official,Official,1884470933,2,2,34.8478115350008
official,Official,1884470933,3,0,34.85482480749488
official,Official,1884470933,3,1,34.865194987505674
official,Official,1884470933,3,2,34.83580298162997
official,Official,55048408,0,0,34.846268616616726
official,Official,55048408,0,1,34.85048821568489
official,Official,55048408,0,2,34.84147268719971
official,Official,55048408,1,0,34.83840348571539
official,Official,55048408,1,1,34.84353730455041
official,Official,55048408,1,2,34.851564817130566
official,Official,55048408,2,0,34.819159558042884
official,Official,55048408,2,1,34.82999322004616
official,Official,55048408,2,2,34.82844881340861
official,Official,55048408,3,0,34.82718073762953
official,Official,55048408,3,1,34.8261469360441
official,Official,55048408,3,2,34.824043080210686
official,Official,979986572,0,0,34.87589170411229
official,Official,979986572,0,1,34.885314559563994
official,Official,979986572,0,2,34.886826898902655
official,Official,979986572,1,0,34.85580271296203
official,Official,979986572,1,1,34.84958732686937
official,Official,979986572,1,2,34.84020262397826
official,Official,979986572,2,0,34.85041139833629
official,Official,979986572,2,1,34.846961515024304
official,Official,979986572,2,2,34.85879938304424
official,Official,979986572,3,0,34.8274636939168
official,Official,979986572,3,1,34.84086128883064
official,Official,979986572,3,2,34.83715809881687
ls,LS,1884470933,0,0,38.15119413845241
ls,LS,1884470933,0,1,38.1448714658618
ls,LS,1884470933,0,2,38.15670070797205
ls,LS,1884470933,1,0,38.17548517882824
ls,LS,1884470933,1,1,38.15955302119255
ls,LS,1884470933,1,2,38.14254504442215
ls,LS,1884470933,2,0,38.13424922525883
ls,LS,1884470933,2,1,38.14110831543803
ls,LS,1884470933,2,2,38.136870911344886
ls,LS,1884470933,3,0,38.12865647673607
ls,LS,1884470933,3,1,38.131122725084424
ls,LS,1884470933,3,2,38.131936172023416
ls,LS,55048408,0,0,38.15043788962066
ls,LS,55048408,0,1,38.14670674316585
ls,LS,55048408,0,2,38.14122096449137
ls,LS,55048408,1,0,38.14962905459106
ls,LS,55048408,1,1,38.13487142696977
ls,LS,55048408,1,2,38.1320343259722
ls,LS,55048408,2,0,38.17349464818835
ls,LS,55048408,2,1,38.16584436222911
ls,LS,55048408,2,2,38.15880016237497
ls,LS,55048408,3,0,38.12999782152474
ls,LS,55048408,3,1,38.131465289741755
ls,LS,55048408,3,2,38.13579797372222
ls,LS,979986572,0,0,38.139928471297026
ls,LS,979986572,0,1,38.14019102975726
ls,LS,979986572,0,2,38.14106375724077
ls,LS,979986572,1,0,38.13721266016364
ls,LS,979986572,1,1,38.171888183802366
ls,LS,979986572,1,2,38.23353404738009
ls,LS,979986572,2,0,38.14107349514961
ls,LS,979986572,2,1,38.14080846682191
ls,LS,979986572,2,2,38.14871112070978
ls,LS,979986572,3,0,38.12379126623273
ls,LS,979986572,3,1,38.12737866304815
ls,LS,979986572,3,2,38.124084847047925
la,LA,1884470933,0,0,21.29771713912487
la,LA,1884470933,0,1,21.29264548793435
la,LA,1884470933,0,2,21.287213254719973
la,LA,1884470933,1,0,21.298527259379625
la,LA,1884470933,1,1,21.29665767773986
la,LA,1884470933,1,2,21.289347717538476
la,LA,1884470933,2,0,21.283228462561965
la,LA,1884470933,2,1,21.28835240378976
la,LA,1884470933,2,2,21.282637974247336
la,LA,1884470933,3,0,21.283137448132038
la,LA,1884470933,3,1,21.29030960611999
la,LA,1884470933,3,2,21.28287547454238
la,LA,55048408,0,0,21.287766380235553
la,LA,55048408,0,1,21.286481419578195
la,LA,55048408,0,2,21.293190706521273
la,LA,55048408,1,0,21.284134030342102
la,LA,55048408,1,1,21.29194146208465
la,LA,55048408,1,2,21.275161139667034
la,LA,55048408,2,0,21.291169740259647
la,LA,55048408,2,1,21.291483886539936
la,LA,55048408,2,2,21.290100745856762
la,LA,55048408,3,0,21.33057159371674
la,LA,55048408,3,1,21.330383006483316
la,LA,55048408,3,2,21.32889208011329
la,LA,979986572,0,0,21.277152558788657
la,LA,979986572,0,1,21.284101270139217
la,LA,979986572,0,2,21.28183883614838
la,LA,979986572,1,0,21.278978006914258
la,LA,979986572,1,1,21.280991174280643
la,LA,979986572,1,2,21.28523555584252
la,LA,979986572,2,0,21.281947737559676
la,LA,979986572,2,1,21.282877139747143
la,LA,979986572,2,2,21.28753044269979
