arm,label,seed,gpu,repeat,gpu_energy_joules,endpoint_wall_seconds,joules_per_window_second
official,Official,1884470933,0,0,7331.823,34.87186167575419,210.25040384057533
official,Official,1884470933,0,1,7341.254,34.868853494524956,210.53901302354865
official,Official,1884470933,0,2,7360.714,34.875749085098505,211.05536635326467
official,Official,1884470933,1,0,7333.634,34.98932597786188,209.59632102201877
official,Official,1884470933,1,1,7298.975,35.00917864777148,208.4874676277108
official,Official,1884470933,1,2,7318.659,34.99414461106062,209.1395312370855
official,Official,1884470933,2,0,7062.913,34.85432701557875,202.6409230866259
official,Official,1884470933,2,1,7061.502,34.856551280245185,202.5875119780447
official,Official,1884470933,2,2,7054.845,34.8478115350008,202.44728977927878
official,Official,1884470933,3,0,7433.785,34.85482480749488,213.278507094992
official,Official,1884470933,3,1,7415.427,34.865194987505674,212.6885279906623
official,Official,1884470933,3,2,7459.78,34.83580298162997,214.14118124200496
official,Official,55048408,0,0,7352.771,34.846268616616726,211.0059783128048
official,Official,55048408,0,1,7374.781,34.85048821568489,211.61198530013388
official,Official,55048408,0,2,7375.864,34.84147268719971,211.69782535368526
official,Official,55048408,1,0,7232.395,34.83840348571539,207.59834769596895
official,Official,55048408,1,1,7247.068,34.84353730455041,207.98887141270717
official,Official,55048408,1,2,7227.233,34.851564817130566,207.37183647052782
official,Official,55048408,2,0,7050.453,34.819159558042884,202.48774207909952
official,Official,55048408,2,1,7052.277,34.82999322004616,202.47712813050765
official,Official,55048408,2,2,7072.904,34.82844881340861,203.07835235191413
official,Official,55048408,3,0,7471.517,34.82718073762953,214.5312035529563
official,Official,55048408,3,1,7454.826,34.8261469360441,214.05830549357907
official,Official,55048408,3,2,7474.357,34.824043080210686,214.63208573410657
official,Official,979986572,0,0,7371.319,34.87589170411229,211.35858152498025
official,Official,979986572,0,1,7372.937,34.885314559563994,211.34787210851363
official,Official,979986572,0,2,7375.135,34.886826898902655,211.40171392979224
official,Official,979986572,1,0,7288.442,34.85580271296203,209.10268686165142
official,Official,979986572,1,1,7322.599,34.84958732686937,210.1201064827016
official,Official,979986572,1,2,7313.339,34.84020262397826,209.91092040798586
official,Official,979986572,2,0,7050.703,34.85041139833629,202.31333625911202
official,Official,979986572,2,1,7072.183,34.846961515024304,202.94977503134157
official,Official,979986572,2,2,7072.84,34.85879938304424,202.89970180213143
official,Official,979986572,3,0,7452.591,34.8274636939168,213.98603887717843
official,Official,979986572,3,1,7475.13,34.84086128883064,214.55066618563745
official,Official,979986572,3,2,7454.74,34.83715809881687,213.98817833688838
ls,LS,1884470933,0,0,7380.972,38.15119413845241,193.46634271037803
ls,LS,1884470933,0,1,7400.843,38.1448714658618,194.01934560517452
ls,LS,1884470933,0,2,7384.188,38.15670070797205,193.52270670658973
ls,LS,1884470933,1,0,7303.641,38.17548517882824,191.3175684811081
ls,LS,1884470933,1,1,7321.836,38.15955302119255,191.87426005576364
ls,LS,1884470933,1,2,7330.609,38.14254504442215,192.18982350188
ls,LS,1884470933,2,0,7064.736,38.13424922525883,185.25960635198658
ls,LS,1884470933,2,1,7070.088,38.14110831543803,185.3666113089405
ls,LS,1884470933,2,2,7063.809,38.136870911344886,185.22256365554813
ls,LS,1884470933,3,0,7464.068,38.12865647673607,195.7600579121939
ls,LS,1884470933,3,1,7460.502,38.131122725084424,195.6538771173432
ls,LS,1884470933,3,2,7461.183,38.131936172023416,195.6675623902389
ls,LS,55048408,0,0,7405.544,38.15043788962066,194.11425948572867
ls,LS,55048408,0,1,7383.102,38.14670674316585,193.54493822255614
ls,LS,55048408,0,2,7382.942,38.14122096449137,193.56858048339237
ls,LS,55048408,1,0,7221.2,38.14962905459106,189.28624416417426
ls,LS,55048408,1,1,7221.301,38.13487142696977,189.3621436177951
ls,LS,55048408,1,2,7245.632,38.1320343259722,190.0143049820164
ls,LS,55048408,2,0,7070.941,38.17349464818835,185.23169191520626
ls,LS,55048408,2,1,7072.212,38.16584436222911,185.30212335611333
ls,LS,55048408,2,2,7071.362,38.15880016237497,185.31405520901168
ls,LS,55048408,3,0,7476.41,38.12999782152474,196.0768535837549
ls,LS,55048408,3,1,7475.765,38.131465289741755,196.05239251089452
ls,LS,55048408,3,2,7464.468,38.13579797372222,195.7338877540586
ls,LS,979986572,0,0,7381.795,38.139928471297026,193.54506670234895
ls,LS,979986572,0,1,7396.932,38.14019102975726,193.94061225935806
ls,LS,979986572,0,2,7383.876,38.14106375724077,193.59386636399807
ls,LS,979986572,1,0,7358.624,38.13721266016364,192.9512800416711
ls,LS,979986572,1,1,7333.802,38.171888183802366,192.1257330705475
ls,LS,979986572,1,2,7346.247,38.23353404738009,192.14145861840345
ls,LS,979986572,2,0,7064.78,38.14107349514961,185.2276129799657
ls,LS,979986572,2,1,7065.647,38.14080846682191,185.25163162564567
ls,LS,979986572,2,2,7080.378,38.14871112070978,185.59940275823047
ls,LS,979986572,3,0,7462.751,38.12379126623273,195.75049469463337
ls,LS,979986572,3,1,7461.411,38.12737866304815,195.69693122468354
ls,LS,979986572,3,2,7464.782,38.124084847047925,195.8022606955252
la,LA,1884470933,0,0,4083.868,21.29771713912487,191.75144328016967
la,LA,1884470933,0,1,4104.544,21.29264548793435,192.76815566792172
la,LA,1884470933,0,2,4104.534,21.287213254719973,192.81687794854543
la,LA,1884470933,1,0,4063.364,21.298527259379625,190.78145406558764
la,LA,1884470933,1,1,4054.369,21.29665767773986,190.37583555835587
la,LA,1884470933,1,2,4076.634,21.289347717538476,191.48703164078668
la,LA,1884470933,2,0,3933.694,21.283228462561965,184.82600076015356
la,LA,1884470933,2,1,3932.714,21.28835240378976,184.73548001299983
la,LA,1884470933,2,2,3919.833,21.282637974247336,184.17984672497468
la,LA,1884470933,3,0,4100.979,21.283137448132038,192.68676951385905
la,LA,1884470933,3,1,4085.262,21.29030960611999,191.88363511753133
la,LA,1884470933,3,2,4097.626,21.28287547454238,192.5315968183621
la,LA,55048408,0,0,4085.906,21.287766380235553,191.93681136004597
la,LA,55048408,0,1,4106.026,21.286481419578195,192.89359847999546
la,LA,55048408,0,2,4105.796,21.293190706521273,192.8220179206189
la,LA,55048408,1,0,4014.353,21.284134030342102,188.60776737626458
la,LA,55048408,1,1,4027.835,21.29194146208465,189.1718050781097
la,LA,55048408,1,2,4014.233,21.275161139667034,188.6816731326917
la,LA,55048408,2,0,3939.513,21.291169740259647,185.0303693061421
la,LA,55048408,2,1,3942.037,21.291483886539936,185.14618431513264
la,LA,55048408,2,2,3922.355,21.290100745856762,184.23374538344186
la,LA,55048408,3,0,4148.854,21.33057159371674,194.50271089885428
la,LA,55048408,3,1,4152.251,21.330383006483316,194.66368694542118
