arm,label,seed,gpu,repeat,endpoint_wall_seconds
official,Official,1884470933,0,0,44.97854380682111
official,Official,1884470933,0,1,45.03984823077917
official,Official,1884470933,0,2,45.15213507041335
official,Official,1884470933,1,0,45.210044734179974
official,Official,1884470933,1,1,45.19042367488146
official,Official,1884470933,1,2,45.17531295120716
official,Official,1884470933,2,0,45.21972877904773
official,Official,1884470933,2,1,45.252002131193876
official,Official,1884470933,2,2,45.342940744012594
official,Official,1884470933,3,0,45.295753903687
official,Official,1884470933,3,1,45.30880173295736
official,Official,1884470933,3,2,45.306265875697136
official,Official,55048408,0,0,45.064195066690445
official,Official,55048408,0,1,45.10955381765962
official,Official,55048408,0,2,45.075655587017536
official,Official,55048408,1,0,45.1362911015749
official,Official,55048408,1,1,45.13527361303568
official,Official,55048408,1,2,45.17097067832947
official,Official,55048408,2,0,45.20338337495923
official,Official,55048408,2,1,45.22326346486807
official,Official,55048408,2,2,45.3073601052165
official,Official,55048408,3,0,45.420107409358025
official,Official,55048408,3,1,45.42503418400884
official,Official,55048408,3,2,45.42160911858082
official,Official,979986572,0,0,45.12893824651837
official,Official,979986572,0,1,45.09109301865101
official,Official,979986572,0,2,45.063383135944605
official,Official,979986572,1,0,45.14579577744007
official,Official,979986572,1,1,45.15092008933425
official,Official,979986572,1,2,45.1364920809865
official,Official,979986572,2,0,45.36913471668959
official,Official,979986572,2,1,45.369037453085184
official,Official,979986572,2,2,45.296154368668795
official,Official,979986572,3,0,45.27388076484203
official,Official,979986572,3,1,45.22249135747552
official,Official,979986572,3,2,45.19618705287576
ls,LS,1884470933,0,0,4.5152046121656895
ls,LS,1884470933,0,1,4.511031273752451
ls,LS,1884470933,0,2,4.515928585082293
ls,LS,1884470933,1,0,4.516063380986452
ls,LS,1884470933,1,1,4.514796759933233
ls,LS,1884470933,1,2,4.519907437264919
ls,LS,1884470933,2,0,4.524663537740707
ls,LS,1884470933,2,1,4.523282904177904
ls,LS,1884470933,2,2,4.524514749646187
ls,LS,1884470933,3,0,4.519858960062265
ls,LS,1884470933,3,1,4.5184991136193275
ls,LS,1884470933,3,2,4.521809011697769
ls,LS,55048408,0,0,4.504729561507702
ls,LS,55048408,0,1,4.506100136786699
ls,LS,55048408,0,2,4.502742398530245
ls,LS,55048408,1,0,4.50856676697731
ls,LS,55048408,1,1,4.51053835824132
ls,LS,55048408,1,2,4.504133749753237
ls,LS,55048408,2,0,4.517145678400993
ls,LS,55048408,2,1,4.515455070883036
ls,LS,55048408,2,2,4.515259899199009
ls,LS,55048408,3,0,4.518151491880417
ls,LS,55048408,3,1,4.517552621662617
ls,LS,55048408,3,2,4.515258707106113
ls,LS,979986572,0,0,4.510731443762779
